"iso3c_producing","diet","fcr_type","source_ingredient","FAOSTAT_name","FAO_code","total_crop_demand_ms","total_crop_demand_ge","total_crop_demand_econ"
"AUT","fish-dominant","efficient","soybean meal","Soya beans",236,30.1253758914773,22.773012680647,25.4280784514405
"AUT","fish-dominant","efficient","wheat","Wheat",15,1.98012078647918,1.98012078647918,1.98012078647918
"AUT","fish-dominant","efficient","wheat gluten","Wheat",15,3.67736717488991,4.0973597684451,9.394025843957
"AUT","fish-dominant","regular","corn gluten meal","Maize (corn)",56,9.01277587927085,11.3473133860698,4.76943484131689
"AUT","fish-dominant","regular","faba beans","Broad beans and horse beans, dry",181,1.3613046713999,1.3613046713999,1.3613046713999
"AUT","fish-dominant","regular","soybean meal","Soya beans",236,33.4726398794192,25.3033474229411,28.2534205016005
"AUT","fish-dominant","regular","wheat","Wheat",15,2.20013420719909,2.20013420719909,2.20013420719909
"AUT","fish-dominant","regular","wheat gluten","Wheat",15,4.08596352765545,4.552621964939,10.4378064932856
"AUT","plant-dominant","efficient","canola oil","Rape or colza seed",270,33.1579285938981,52.2551781291366,55.5657696761816
"AUT","plant-dominant","efficient","coconut oil","Coconuts, in shell",249,0.192358794802889,0.391183642874282,0.693225690361478
"AUT","plant-dominant","efficient","corn gluten meal","Maize (corn)",56,1.41951220098516,1.787201858306,0.751185987507411
"AUT","plant-dominant","efficient","faba beans","Broad beans and horse beans, dry",181,2.20531356766783,2.20531356766783,2.20531356766783
"AUT","plant-dominant","efficient","guar meal","Other pulses n.e.c.",211,2.6341245391588,2.80662957654654,1.18081444858843
"AUT","plant-dominant","efficient","linseed oil","Linseed",333,2.56128649807241,4.13224206426194,3.75200564487605
"AUT","plant-dominant","efficient","pea flour","Peas, dry; Peas, green",187,1.80172677097045,1.80172677097045,1.80172677097045
